series	episode	flag	alien	depiction	significance	comments	disposition	technology	formidability	conservation	class	realm	alignment	place of origin	allegiance	human stereotype	attributes	notes
tas	1x16		Skorr	appeared	1.0	Alar the Skorr philosopher	0.7	5.2	5.2	LC	avian	terrestrial	friend				prolific in reproduction	
tas	1x16		Vedala	appeared	1.0	Oldest known spacefaring species	0.8	6.0	6.0	LC	felinoid	terrestrial	friend					
tas	1x16		Sords Species	appeared	1.0	Strongman	0.7	5.2	5.2	LC	reptilian	terrestrial	friend				strong	
tas	1x16		Em/3/Greens Species	appeared	1.0	A lock picking master	0.7	5.2	5.2	LC	insectoid	terrestrial	friend				cowardly	
tas	2x01		Orion	mentioned	1.0	Space pirates	-0.5	5.2	5.2	LC	humanoid	terrestrial	foe	Orion	Orion Syndicate, Orion Free Traders	mafia	green, matriarchical 	
tas	2x01		Coridan	mentioned	0.0	Orion conflict at Coridan	-0.2	5.2	5.2	LC	humanoid	terrestrial	fed	Cordan	Federation			
tas	2x01		Denebian	mentioned	0.0	Academy of Science on Deneb V	0.0				humanoid	terrestrial	unaligned	Deneb V			gullible	
tas	2x01		Natives of Beta Canopus	suggested	0.0	Natural source strobolin	0.0				humanoid	terrestrial	unaligned	Beta Canopus				
tas	2x02		Pandronian	appeared	1.0	Ari bn Bem	0.8	5.2	5.2	LC	colony creature	terrestrial	friend	Pandro	Federation Ally		green	
tas	2x02		Delta Theta III God	appeared	1.0	God-like protector of primitive race	0.0	7.0	7.0	LC	incorporeal	unbounded	unaligned	Delta Theta III				
tas	2x02		Delta Theta III Aborigine	appeared	1.0	primitive race	-0.8	1.1	1.1	NT	reptilian	terrestrial	foe	Delta Theta III				
tas	2x03		Romulan	mentioned	0.8		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Romulus	Romulan Star Empire	ruthless	xenophobic, cunning, devious, logical	
tas	2x04		Dramian	appeared	1.0	they have long tendril like fingers	0.8	5.2	5.2	LC	humanoid	terrestrial	friend	Dramia	Federation Ally		green	
tas	2x04		Saurian	mentioned	0.1	Saurian virus	0.0				reptilian	terrestrial	friend	Saurian homeworld				
tas	2x05		Kukulkans Species	appeared	1.0	Flying serpentine trixter god (possibly a reptilian)	-0.9	6.1	6.1	EW	mythological hybrid	terrestrial	foe					
tas	2x05		Capellan	implied	0.0	Capellan power cat	-0.3	2.0	2.0	NT	humanoid	terrestrial	foe	Capella IV	The Ten Tribes	nomadic warrior tribe	Kligat throwing	
tas	2x06		Natives of Arret	appeared	1.0	Negative universe people	0.9	6.2	6.2	LC	humanoid	terrestrial	unaligned	Arret				
tas	2x06		Capellan	implied	0.0	Capellan flower	-0.3	2.0	2.0	NT	humanoid	terrestrial	foe	Capella IV	The Ten Tribes	nomadic warrior tribe	Kligat throwing	
tas	2x06		Empathic Minaran	implied	0.0	Minara supernova mentioned	0.8	3.1	3.1	EW	humanoid	terrestrial	unaligned	Minaran Star System			mute, empathic	
tas	2x06		Natives of Sarpeidon	implied	0.0	Beta Niobi supernova	0.3	6.2	6.2	EX	humanoid	terrestrial	unaligned	Sarpeidon				
