UniqueID	EpisodeID	DeathBy	MetaDeathBy	Capacity	Depiction	Shirt	Rank	VictimSpecies	Victim	ResponsibleParty	ResponsiblePartySpecies	BodyCount	TimeMin	TimeSec	Comment
26	tos1x09	death by fall into bottomless pit	death by falling	murder	death	red	Crewman	Human	Mathews	Ruk	Androids of Exo III	1	15:15	915	Ruk@Mathews
27	tos1x09	death by strangulation	death by physical assault		death	red	Crewman	Human	Rayburn	Ruk	Androids of Exo III	1	11:00	660	Ruk@Rayburn
28	tos1x10	death by mind being emptied	death by being drained of energy		death			Human	Tristan Adams			1	46:30	2790	Adams
29	tos1x10	death by electrocution	death by electrocution		death			Human	Tantalus penal colony guard	Helen Noel	Human	1	45:05	2705	medic
30	tos1x11	death by rapid aging	death by rapid aging		death			Onlies	Zombie Boy			1	6:10	370	zombie boy
31	tos1x11	death by phaser blast	death by directed energy weapon	self-defense	death			Onlies	Zombie Girl	Kirk	Human	1	26:20	1580	kirk@zombie girl
32	tos1x12	death by unspecified means	death by unspecified means	murder	death			Human	Thomas Leighton	Lenore Karidian	Human	1	10:45	645	Lenora@Leighton
33	tos1x12	death by phaser blast	death by directed energy weapon		death			Human	Kodos the Executioner	Lenore Karidian	Human	1	46:40	2800	Lenora@Kodos
34	tos1x12	execution based on eugenic principles	execution by various means	execution	mentioned			Human	Tarsus IV colonists	Kodos the Executioner	Human	4000			Kodos@civilian x4000
35	tos1x12	death by unspecified means	death by unspecified means	murder	mentioned			Human	executed Tarsus IV colonist witnesses 	Lenore Karidian	Human	6			Lenora@witness x6
36	tos1x13	death by spear to the back	death by blade weapon attack		death	yellow	Lieutenant	Human	Latimer	Taurus II Anthropoid	Taurus II Anthropoid	1	14:55	895	Latimer
37	tos1x13	death by savage mauling	death by savage mauling		death	yellow	Lieutenant	Human	Gaetano	Taurus II Anthropoid	Taurus II Anthropoid	1	28:00	1680	Gaetano
38	tos1x13	death by spear through the body	death by spearing		mentioned		Ensign	Human	O'Neill	Taurus II Anthropoid	Taurus II Anthropoid	1	36:40	2200	Ensign O'Neil, reported
39	tos1x14	death by being lost in space	death by being lost in space	apparent	mentioned	yellow	Lieutenant Commander	Human	Ben Finney	Kirk	Human	1			Finney
40	tos1x16	death by being impaled through the abdomen	death by impaling		death			Kalar	Kalar warrior	Christopher Pike	Human	1	12:00	720	pike@barbarian
41	tos1x17	death by lance through the chest	death by spearing	apparent	death	blue		Human	McCoy	Black Knight	Shore Leave Planet creation	1	30:00	1800	black knight@McCoy
42	tos1x17	death by fighter plane strafing run	death by being gunned down	apparent	death	yellow		Human	Angela Martine	Japanese Zero Pilot	Shore Leave Planet creation	1	34:00	2040	Angela
43	tos1x17	death by gunshot to the chest	death by being gunned down		death			Shore Leave Planet creation	Black Knight	Kirk	Human	1	30:15	1815	Kirk@black night
44	tos1x19	death by disintegration	death by disintegration		death	red	Ensign	Human	O'Herlihy	Gorn	Gorn	1	4:15	255	Gorn@O'Herlihy, Lang
45	tos1x19	death by disintegration	death by disintegration		death	yellow	Lieutenant Commander	Human	Lang	Gorn	Gorn	1	9:00	540	Gorn@O'Herlihy, Lang
46	tos1x19	death by planetary bombardment			mentioned			Human	Cestus III colonists	Gorn	Gorn	100			100?
47	tos1x22	death by disappearing into a puff of smoke	death by disappearing into a puff of smoke		death			Children of Landru	Tamar	Beta III Lawgiver	Children of Landru	1	13:05	785	Tamar
48	tos1x22	death by pondering a logical paradox	death by pondering a logical paradox		death			Computer	Landru	Kirk	Human	1	47:00	2820	Landru by Kirk
49	tos1x23	death by disintegration	death by disintegration	execution	death			Eminian	Eminian Citizen	Eminian State	Eminian	1	19:50	1190	female citizen, guard
50	tos1x23	death by disintegration	death by disintegration	execution	death			Eminian	Eminian Guard	Eminian State	Eminian	1	20:00	1200	female citizen, guard
51	tos1x23	death by ship explosion	death by explosion		mentioned			Human	USS Valiant crew	Eminian State	Eminian	400			400 USS Vailant crew
52	tos1x23	death by voluntary disintegration	death by disintegration	execution	mentioned			Eminian	Eminians	Eminian State	Eminian	500000			500,000 citizens in the virtual fusion bomb attack
53	tos1x25	death by exposure to Berthold rays	death by radiation exposure	apparent	mentioned			Human	Omicron Ceti III colonists			153			153 colonists
54	tos1x26	death by chemical corrosion	death by being dissolved		death			Human	Schmitter	Mother Horta	Horta	1	2:00	120	Schmitter, guard, redshirt
55	tos1x26	death by chemical corrosion	death by being dissolved		death			Human	Janus VI Miner	Mother Horta	Horta	1	8:38	518	Schmitter, guard, redshirt
56	tos1x26	death by chemical corrosion	death by being dissolved		death	red		Human	Redshirt	Mother Horta	Horta	1	17:22	1042	Schmitter, guard, redshirt
57	tos1x26	death by chemical corrosion	death by being dissolved		mentioned			Human	Janus VI miners	Mother Horta	Horta	50			50 people died according to Kirk and Vanderberg
58	tos1x27	death by ship explosion	death by explosion		mentioned			Klingon	Klingon Crew	Scotty [in command]	Human	12	1:50	110	klingon crew, 12 estimated
59	tos1x28	death by phaser disintegration	death by directed energy weapon		death			Human	Homeless Man	Homeless Man	Human	1	38:00	2280	homeless man
60	tos1x28	death by being hit by a car	death by traffic accident		death			Human	Edith Keeler			1	47:40	2860	Edith
61	tos1x29	death by flying into a sun	death by space ship accident	suicide	mentioned			Human	Denevan Colonist	Denevan Colonist	Human	1	2:55	175	Denevan pilot who committed suicide
62	tos1x29	death by neural parasite	death by parasites		death			Human	George Samuel Kirk			1	9:45	585	Sam, Aurelan, a million people on Deneva according to Kirk
63	tos1x29	death by neural parasite	death by parasites		mentioned			Human	Aurelan			1	15:00	900	Sam, Aurelan, a million people on Deneva according to Kirk
64	tos1x29	death by neural parasite	death by parasites		mentioned			Human	Denevan Colonists			1000000			Sam, Aurelan, a million people on Deneva according to Kirk
65	tos2x01	death by sympathetic magic	death by black magic		death	yellow	Lieutenant 	Human	Jackson	Sylvia	Human	1	1:22	82	Jackson
66	tos2x01	death by unprotected exposure to alien dimension and subsequent spontaneous combustion	death by disappearing into a puff of smoke		death			Orthinoid Species	Korob			1	48:55	2935	Korob and Sylvia
67	tos2x01	death by unprotected exposure to alien dimension and subsequent spontaneous combustion	death by disappearing into a puff of smoke		death			Orthinoid Species	Sylvia			1	48:55	2935	Korob and Sylvia
68	tos2x03	death by kligat to the chest	death by blade weapon attack		death	red	Lieutenant	Human	Grant	Capellan Warrior	Capellan	1	2:15	135	Grant, Capellan, Kras by Keel
69	tos2x03	death by kligat to the chest	death by blade weapon attack		death			Capellan	Capellan Warrior	Capellan Warrior	Capellan	1	13:50	830	Grant, Capellan, Kras by Keel
70	tos2x03	death by kligat to the chest	death by blade weapon attack		death			Klingon	Kras	Keel	Capellan	1	46:25	2785	Grant, Capellan, Kras by Keel
71	tos2x03	death by stabbing			death			Capellan	Akaar	Capellan Warrior	Capellan	1	14:00	840	Akaar
72	tos2x03	death by knife to the chest	death by blade weapon attack		death			Capellan	Capellan Warrior	Akaar	Capellan	2	13:20	800	two capellans by Akaar
73	tos2x03	death by throat slitting	death by blade weapon attack		death			Capellan	Capellan Warrior	Keel	Capellan	1	13:45	825	keel@capellan
74	tos2x03	death by being crushed under rocks			death			Capellan	Capellan Warrior			3	38:00	2280	capellan x3
75	tos2x03	death by arrow to the abdomen and subsequent fall			death			Capellan	Capellan Warrior	Spock	Vulcan	1	44:05	2645	spock@capellan
76	tos2x03	death by arrow to the throat			death			Capellan	Capellan Warrior	Kirk	Human	1	44:10	2650	kirk@capellan
77	tos2x03	death by phaser blast	death by directed energy weapon		death			Capellan	Capellan Warrior	Klingon	Klingon	1	45:05	2705	klingon@capellan, klingon@Maab
78	tos2x03	death by phaser blast	death by directed energy weapon		death			Capellan	Maab	Klingon	Klingon	1	46:17	2777	klingon@capellan, klingon@Maab
79	tos2x04	death by voluntary dissolution into air			death			Greek God	Apollo	Kirk [in command]	Human	1	48:35	2915	Apollo
80	tos2x04	death by voluntary dissolution into air			mentioned			Greek Gods	Hera			1			Hera
81	tos2x05	death by strangulation		apparent	death	yellow		Human	Kirk	Spock	Vulcan	1	43:03	2583	Spock@Kirk
82	tos2x06	death by flying straight down the maw of a world eater		suicide	death	yellow	Commodore	Human	Matt Decker	Matt Decker	Human	1	39:40	2380	Decker's suicide
83	tos2x06	death by antiproton beam			mentioned			Human	USS Constellation	Planet Eater	Planet Eater	429			429 USS Constellation crewmen
84	tos2x07	death by being stabbed a dozen times	death by stabbing	murder	heard			Argelian	Kara	Redjac	Redjac's Species	1	4:38	278	Kara by Hengist
85	tos2x07	death by being stabbed over and over again	death by stabbing	murder	mentioned	blue	Lieutenant	Human	Karen Tracy	Redjac	Redjac's Species	1	14:00	840	Karin Tracy by Hengist
86	tos2x07	death by stabbing	death by stabbing	murder	heard			Argelian	Sybo	Redjac	Redjac's Species	1	21:26	1286	Sybo by Hengist
87	tos2x07	death by being beamed out into space			death			Redjac's Species	Redjac	Kirk	Human	1	47:35	2855	Hingist by Kirk and Spock
88	tos2x07	death by stabbing	death by stabbing	murder	mentioned			Human	women serial killer victims	Rejac	Rejac's Species	30			seven women in Shanghai in 1932; five women in Kiev in 1974; eight women on Martian Colonies in 2105; ten women on Heliopolis, Alpha Eridani II in 2156
89	tos2x08	death by mysterious pulse beam			death	red	Chief Engineer	Human	Scotty	Nomad	Nomad	1	21:15	1275	Scotty by Nomad
90	tos2x08	death by disintegration			death	red		Human	Redshirt	Nomad	Nomad	2	37:10	2230	redshirt x2, redshirt x2
91	tos2x08	death by disintegration			death	red		Human	Redshirt	Nomad	Nomad	2	41:55	2515	redshirt x2, redshirt x2
92	tos2x08	death by pondering a logical paradox			death			Nomad	Nomad	Kirk	Human	1	48:03	2883	Nomad by Kirk
93	tos2x08	death by an extremely powerful bolt of energy			mentioned			Malurian	Malurian race	Nomad	Nomad	4000000000			4 billion inhabitants of the Malurian star system
94	tos2x09	death by poison plant projectiles			death	red		Human	Hendorff	Vaal	Computer	1	2:00	120	Hendorff
95	tos2x09	death by lightning strike			death	red	Lieutenant	Human	Kaplan	Vaal	Computer	1	12:57	777	Kaplan
96	tos2x09	death by stepping on an exploding rock	death by explosion		death	red	Lieutenant	Human	Mallory			1	14:58	898	Mallory
97	tos2x09	death by head-bashing			death	red	Lieutenant	Human	Marple	Vaalian	Vaalian	1	40:55	2455	Marple
98	tos2x10	death by phaser disintegration	death by directed energy weapon		death	yellow		Human	Chekov's Guard #1	Wilson	Terran	1	14:48	888	two crewman by Wilson
99	tos2x10	death by phaser disintegration	death by directed energy weapon		death	yellow		Human	Chekov's Guard #2	Wilson	Terran	1	14:58	898	two crewman by Wilson
100	tos2x10	death by Tantalus field	death by disintegration		death	red		Human	Redshirt	Marlena Moreau	Terran	1	40:55	2455	three guards by Marlena
101	tos2x10	death by Tantalus field	death by disintegration		death	red		Human	Redshirt	Marlena Moreau	Terran	1	41:00	2460	three guards by Marlena
102	tos2x10	death by Tantalus field	death by disintegration		death	red		Human	Redshirt	Marlena Moreau	Terran	1	41:05	2465	three guards by Marlena
103	tos2x10	execution by unspecified means		execution	mentioned			Terran	Terran colonists	mirror Kirk	Terran	5000			5000 colonists on Vega IX in evil universe
104	tos2x10	death by assassination			mentioned			Terran	mirror Pike	mirror Kirk	Terran	1			Christopher Pike in evil universe by evil-Kirk
105	tos2x11	death by rapid aging			body			Human	Scientist			1	1:03	63	unnamed scientist, Robert Johnson, Elaine Johnson, Galway
106	tos2x11	death by rapid aging			mentioned			Human	Robert Johnson			1	9:45	585	unnamed scientist, Robert Johnson, Elaine Johnson, Galway
107	tos2x11	death by rapid aging			mentioned			Human	Elaine Johnson			1	9:45	585	unnamed scientist, Robert Johnson, Elaine Johnson, Galway
108	tos2x11	death by rapid aging			mentioned	blue	Lieutenant	Human	Arlene Galway			1	25:50	1550	unnamed scientist, Robert Johnson, Elaine Johnson, Galway
109	tos2x11	death by rapid aging			mentioned			Human	Gamma Hydra IV scientists			3			three unnamed scientists
110	tos2x12	death by contemplating a logical paradox			death			Mudd's Androids	Mudd's Androids	Kirk	Human	207809	45:45	2745	207809 androids
111	tos2x12	death by imaginary phaser	death by directed energy weapon	apparent	death	red	Chief Engineer	Human	Scotty	Kirk	Human	1			crew@scotty
112	tos2x14	death by sword thrust			death			Roman Aliens	Gladiator	Gladiator	Roman Aliens	1	3:05	185	gladiator@gladiator
113	tos2x14	death by machine gunning			death			Roman Aliens	Maximus	Guard	Roman Aliens	1	45:45	2745	guard@maximus, guard@guard
114	tos2x14	death by machine gunning			death			Roman Aliens	Guard	Guard	Roman Aliens	1	45:47	2747	guard@maximus, guard@guard
115	tos2x14	death by sword thrust	death by stabbing		death			Roman Aliens	Guard	Kirk	Human	1	45:48	2748	kirk@guard, prisoner@prisoner
116	tos2x14	death by sword thrust	death by stabbing		death			Roman Aliens	Prisoner	Prisoner	Roman Aliens	1	45:49	2749	kirk@guard, prisoner@prisoner
117	tos2x14	death by knife to the back	death by stabbing		death		Captain	Human	R.M. Merik	Claudius Marcus	Roman Aliens	1	46:52	2812	Claudius@Merik
118	tos2x14	death by gladiatorial combat			mentioned			Human	USS Beagle crew	Space Romans	Space Romans	46			46 of 47 crewmen of USS Beagle
119	tos2x15	death by broken neck			body			Tellarite	Gav	Thelev	Orion	1	16:55	1015	murder of Gav the Tellarite ambassador by Thelev
120	tos2x15	death by slow poison	death by poison	suicide	death			Orion	Thelev	Thelev	Orion	1	46:15	2775	Thelev, suicide, felodesine chip perhaps?
121	tos2x15	death by ship self destruct		suicide	mentioned			Orion	Orion Crew	Orion Crew	Orion	5	45:00	2700	5 but only speculation; suicide
122	tos2x16	death by phaser disintegration	death by directed energy weapon		death			Mugato	Mugato	McCoy	Human	1	10:36	636	Mugato by McCoy; disintegration
123	tos2x16	death by phaser disintegration	death by directed energy weapon		death			Mugato	Mugato	Kirk	Human	1	42:40	2560	Mugato by Kirk; disintegration
124	tos2x16	death by knife to the shoulder	death by stabbing		death			Neural	Nona	Neural Villager	Neural	1	46:20	2780	Nona
125	tos2x17	death by spear to the abdomen	death by stabbing		death			Kloog's Species	Kloog	Kirk	Human	1	45:37	2737	Kloog by Kirk, Lars at Andorian
126	tos2x17	death by spear to the abdomen	death by stabbing		death			Andorian	Andorian Thrall	Lars	Lars' Species	1	45:50	2750	Kloog by Kirk, Lars at Andorian
127	tos2x18	death by having every red corpuscle drained from the body			death	red		Human	Redshirt	Dikironium Cloud Creature	Dikironium Cloud Creature	2	3:25	205	two redshirts, redshirt, crewman
128	tos2x18	death by having every red corpuscle drained from the body			death	red		Human	Redshirt	Dikironium Cloud Creature	Dikironium Cloud Creature	1	13:50	830	two redshirts, redshirt, crewman
129	tos2x18	death by having every red corpuscle drained from the body			death			Human	Crewman	Dikironium Cloud Creature	Dikironium Cloud Creature	1	33:50	2030	two redshirts, redshirt, crewman
130	tos2x18	death from complications of having 60 percent of red corpuscles drained from the body			death	red	Ensign	Human	Rizzo	Dikironium Cloud Creature	Dikironium Cloud Creature	1	11:40	700	Ensign Rizzo
131	tos2x18	death by antimatter explosion	death by explosion		death			Dikironium Cloud Creature	Dikironium Cloud Creature	Kirk	Human	1	47:21	2841	dikironium cloud creature by Kirk and Garrovick
132	tos2x18	death by having every red corpuscle drained from the body	death by being drained of energy		mentioned			Human	USS Farragut	Dikironium Cloud Creature	Dikironium Cloud Creature	200			200 crewmen
133	tos2x19	death by having the energy drained right out of you	death by being drained of energy		mentioned			Vulcan	Vulcan Crew	Giant Space Amoeba	Giant Space Amoeba	400	0:45	45	400 Intrepid crew
134	tos2x19	death by having the energy drained right out of you	death by being drained of energy		mentioned			Gamma 7A System Inhabitants	Gamma 7A System Inhabitants	Giant Space Amoeba	Giant Space Amoeba	2000000000			billions of inhabitants of the Gamma 7A system
135	tos2x20	death by drive by machine gunning	death by being gunned down		death			Sigma Iotian	Sigma Iotian Gangster	Sigma Iotian Gangster	Sigma Iotian	1	5:52	352	gangster@gangster
136	tos2x21	death by being transformed into a beveled cube and crushed to powder			death	red	Yeoman	Human	Leslie Thompson	Rojan	Kelvan	1	14:10	850	Yeoman Thompson
137	tos2x22	death by severe ennui			death			Sargon's Species	Sargon's Companions			8	8:00	480	eight alien spheres
138	tos2x22	death by disembodied consciousness falling into oblivion			heard			Sargon's Species	Henoch	Sargon	Sargon's Species	1	46:15	2775	Henoch by Sargon
139	tos2x23	death by machine gunning	death by being gunned down		death			Human	John Gill	Melakon	Ekosian	1	46:50	2810	John Gill
140	tos2x23	death by gunshot to the abdomen	death by being gunned down		death			Ekosian	Melakon	Isak	Zeon	1	46:00	2760	Melakon
141	tos2x23	death by being gunned down in the street	death by being gunned down		mentioned			Zeon	Isak's fiancee	Ekosian Nazi	Ekosian	1			Isaks fiancé
142	tos2x24	death by high voltage power beam			death	red	Ensign	Human	Harper	M-5 computer	Computer	1	26:45	1605	redshirt by M-5, disintegration
143	tos2x24	death by ship explosion	death by explosion		mentioned			Human	Lexington Crew	M-5 computer	Computer	53	38:00	2280	Lexington crew x53, Excalibur crew x430 including Captain Harris and first officer
144	tos2x24	death by ship explosion	death by explosion		mentioned			Human	Excalibur Crew	M-5 computer	Computer	430	38:02	2282	Lexington crew x53, Excalibur crew x430 including Captain Harris and first officer
145	tos2x24	death by contemplating a logical paradox			death				M-5 computer	Kirk	Human	1	46:00	2760	M-5 by Kirk
146	tos2x25	death by phaser disintegration	death by directed energy weapon		death	red	Lieutenant	Human	Galloway	Ron Tracy	Human	1	13:12	792	Galloway by Tracy, disintegration
147	tos2x25	death by phaser disintegration	death by directed energy weapon		mentioned			Yangs	Yang horde	Ron Tracey	Human	300			300 Yangs by Tracy
148	tos2x25	death by being drained of water and reduced to a three or four pound pile constituent chemicals			mentioned			Human	USS Exeter crew			429			429 USS Exeter crewmen
149	tos2x25	death by phaser disintegration	death by directed energy weapon		mentioned			Yangs	Yang horde	Kohms	Kohms	5000			5000 Yangs by Khoms
150	tos2x26	death by automobile accident			mentioned			Human	Agents 201 and 347			2			Agents 347 and Agent 201
151	tos3x01	death by gunshot to the chest	death by being gunned down		death				Cowboy	Wyatt Earp	Human	1	11:58	718	Earp@cowboy, Earp@Chekov
152	tos3x01	death by gunshot to the chest	death by being gunned down	apparent	death	yellow	Ensign	Human	Chekov	Wyatt Earp	Human	1	30:01	1801	Earp@cowboy, Earp@Chekov
153	tos3x02	death by neck snapped clean			death	red		Human	Watson (redshirt)	Kryton	Elasian	1	27:45	1665	redshirt by Trosian
154	tos3x02	death by phaser disintegration	death by directed energy weapon	suicide	death			Elasian	Kryton	Kryton	Elasian	1	28:10	1690	Kritan, suicide, disintegration
155	tos3x03	execution by stoning		execution	death			Natives of Amerind	Miramanee	Amerind Natives	Natives of Amerind	1	49:45	2985	Miramanee and unborn child, Kirk: Will she live? McCoy: No.
156	tos3x03	death by drowning		apparent	death			Natives of Amerind	Amerind Boy			1	13:00	780	boy, revived
157	tos3x04	death by Vulcan death grip		apparent	death	yellow	Captain	Human	Kirk	Spock	Vulcan	1	24:10	1450	Kirk by Spock
158	tos3x05	death by mass suicide		suicide	death			Human	Triacus Scientists	Triacus Scientists	Human	8	0:22	22	8 bodies
159	tos3x05	death by mass suicide		suicide	death			Human	Professor Starnes	Professor Starnes	Human	1	1:12	72	Professor Starnes
160	tos3x05	death by being beamed out into space	death by transporter complication		death	red		Human	redshirt			2	28:38	1718	two redshirts
161	tos3x07	death by lack of will to live			death			Human	Larry Marvick			1	23:45	1425	Larry Marvick
162	tos3x08	death by sheer terror			death			Human	Doctor Linke	Lal, Thann		1	13:35	815	Linke and Ozaba
163	tos3x08	death by sheer terror			death			Human	Doctor Ozaba	Lal, Thann		1	13:37	817	Linke and Ozaba
164	tos3x09	death by strangulation			death	yellow	Captain	Human	Defiant Captain	Unnamed Redshirt		1	3:07	187	Defiant captain by crewman
165	tos3x09	death by unspecified acts of violence			mentioned			Human	USS Defiant crewmen	USS Defiant crewmen	Human	450			450 Defiant crewmen
166	tos3x10	death by excruciating pain			death			Fabrini	Fabrini Old Man	Oracle of the People		1	16:20	980	old man
167	tos3x11	death by ship explosion	death by explosion		mentioned			Klingon	Klingon Crew	Beta XII-A Entity		400	1:40	100	400 Klingons
168	tos3x13	death by rapid aging			death	red		Human	Compton	Rael	Scalosian	1	19:55	1195	Compton
169	tos3x14	death by cellular disruption			death	red	Ensign	Human	Wyatt	Losira	Kalandan	1	1:57	117	redshirt, D'Amato, Watkins
170	tos3x14	death by cellular disruption			death	blue	Lieutenant	Human	D'Amato	Losira	Kalandan	1	13:53	833	redshirt, D'Amato, Watkins
171	tos3x14	death by cellular disruption			death	red		Human	John B. Watkins	Losira	Kalandan	1	20:16	1216	redshirt, D'Amato, Watkins
172	tos3x15	death by mutual annihilation			mentioned			Natives of Cheron	Natives of Cheron race	Natives of Cheron	Natives of Cheron	5000000000			5 billion aliens on Cheron
173	tos3x16	death by bomb explosion	death by explosion		death			Orion	Marta	Garth of Izar	Human	1	40:15	2415	Marta by Garth, execution
174	tos3x18	death by severe brain hemorrhaging			body			Andorian, Tellarite, Human	Memory Alpha scholars	Zetarian Cloud Entity	Zetarian Cloud Entity	3	14:43	883	three Memory Alpha scholars
175	tos3x18	death by severe brain hemorrhaging			death			Human	Memory Alpha technician	Zetarian Cloud Entity	Zetarian Cloud Entity	1	16:15	975	female Memory Alpha scholar
176	tos3x19	death by auto-defenestration		suicide	death			Ardanan	Troglyte prisoner	Troglyte prisoner	Ardanan	1	11:35	695	Troglyte, suicide
177	tos3x19	death by disruptor	death by directed energy weapon		death			Ardanan	Troglyte miner	Troglyte miner	Ardanan	1	5:27	327	Troglyte
178	tos3x20	death by eating a poison apple	death by poison		body			Human	Adam (space hippie)			1	45:30	2730	Adam
179	tos3x20	death by eating a poison apple	death by poison	suicide	death			Tiburonian	Doctor Servin	Doctor Servin	Tiburonian	1	47:30	2850	Sevrin
180	tos3x21	death by pondering a logical paradox			death			Android	Rayna Kapec			1	45:39	2739	Rayna
181	tos3x21	death by Rigelian fever	death by infectious disease		mentioned			Human	USS Enterprise crewmen			3			three crewmen, mentioned
182	tos3x22	death by torture			body			Vulcan	Surak	Colonel Green, Kahless, Genghis Khan, Zora 		1	39:22	2362	evil guys@Surak
183	tos3x22	death by spear to the back	death by stabbing		death			Human	Abraham Lincoln	Colonel Green, Kahless, Genghis Khan, Zora 		1	45:07	2707	evil guys@Lincoln
184	tos3x24	death by radiation poisoning	death by poison	murder	mentioned			Human	Camus II archaeologist	Janice Lester	Human	10			ten archaeologists on Camus II, murder
185	tas1x06	death by injuries sustained in a crash			mentioned			Human	Carter Winston			1			Carter Winston died under Vendorian care
186	tas1x14	death by bomb explosion	death by explosion		death			Kzinti	Kzinti crew	Spock	Vulcan	3	21:40	1300	three Kzinti
187	tng1x01	death by freezing			death	yellow	Lieutenant	Human	Natasha Yar	Q	The Q	1	24:10	1450	Tasha
188	tng1x01	death by machine gunning	death by being gunned down		death			Human	21st century soldier	21st century soldier	Human	1	22:14	1334	soldier
189	tng1x03	death by blown out into space			mentioned			Human	USS Tsiolkovsky crew			5			5 crew members of USS Tsiolkovsky
190	tng1x03	death by freezing			mentioned			Human	USS Tsiolkovsky crew			75			75 crew member of USS Tsiolkovsky
191	tng1x04	death by poison	death by poison		death			Ligonian	Yareena	Natasha Yar	Human	1	40:05	2405	Yerina, Ligonian spectator
192	tng1x04	death by poison	death by poison		death			Ligonian	Ligonian spectator	Yareena	Ligonian	1	38:56	2336	Yerina, Ligonian spectator
193	tng1x07	death by energy discharge			death		Lieutenant	Human	Singh	Beta Renner Energy Pattern		1	19:55	1195	Mr. Singh
